FS,Model,Training_Time_s,Accuracy,ROC_AUC,AP,Precision,Recall,Conf_Matrix
No_FS,XGBoost,1.103231430053711,0.97848,0.9958551040888888,0.994435399151832,0.9628659873597317,0.9953466666666667,"[[72121, 2879], [349, 74651]]"
No_FS,CatBoost,7.572068929672241,0.96444,0.9917212117333333,0.9890643141599688,0.9429199938965465,0.9887333333333334,"[[70511, 4489], [845, 74155]]"
No_FS,LightGBM,2.258645534515381,0.9538333333333333,0.9884348109333334,0.9847856034343702,0.9287972889555172,0.9830266666666667,"[[69348, 5652], [1273, 73727]]"
SHAP_RFE,XGBoost,0.39739418029785156,0.97946,0.9961254956444444,0.9948975860863951,0.96398756145082,0.9961333333333333,"[[72209, 2791], [290, 74710]]"
SHAP_RFE,CatBoost,6.499620676040649,0.9659866666666667,0.9921853013333333,0.9896031763868054,0.9445193457302028,0.9901333333333333,"[[70638, 4362], [740, 74260]]"
SHAP_RFE,LightGBM,1.1801106929779053,0.9554466666666667,0.9891430915555555,0.9856906537266024,0.9306905725561397,0.9841866666666667,"[[69503, 5497], [1186, 73814]]"
DeepSwarm,XGBoost,0.7757411003112793,0.97636,0.9953181052444444,0.9937821316303699,0.9594639779829728,0.9947466666666667,"[[71848, 3152], [394, 74606]]"
DeepSwarm,CatBoost,6.857130765914917,0.9620666666666666,0.990856160711111,0.9878201884500136,0.9395388361828421,0.9876933333333333,"[[70233, 4767], [923, 74077]]"
DeepSwarm,LightGBM,1.4845914840698242,0.9523333333333334,0.988380539111111,0.9849103176118649,0.9272670025188917,0.9816666666666667,"[[69225, 5775], [1375, 73625]]"
